x            y            z            
-2.772008e+01 6.130910e+00 -2.658471e+00 
-2.772008e+01 7.130910e+00 -2.894387e+00 
-2.772008e+01 8.130910e+00 -2.811912e+00 
-2.772008e+01 9.130910e+00 -2.941065e+00 
-2.772008e+01 1.013091e+01 -2.614344e+00 
-2.772008e+01 1.113091e+01 -3.000000e+00 
-2.772008e+01 1.213091e+01 -2.999481e+00 
-2.772008e+01 1.313091e+01 -3.000000e+00 
-2.772008e+01 1.413091e+01 -2.823853e+00 
-2.772008e+01 1.513091e+01 -2.806444e+00 
-2.772008e+01 1.613091e+01 -2.763068e+00 
-2.772008e+01 1.713091e+01 -2.749306e+00 
-2.772008e+01 1.813091e+01 -2.671405e+00 
-2.772008e+01 1.913091e+01 -2.912779e+00 
-2.772008e+01 2.013091e+01 -2.471157e+00 
-2.772008e+01 2.113091e+01 -2.681457e+00 
-2.772008e+01 2.213091e+01 -2.602961e+00 
-2.672008e+01 -2.386909e+01 -3.000000e+00 
-2.672008e+01 -2.286909e+01 -3.000000e+00 
-2.672008e+01 -2.186909e+01 -3.000000e+00 
-2.672008e+01 -2.086909e+01 -3.000000e+00 
-2.672008e+01 -1.986909e+01 -3.000000e+00 
-2.672008e+01 -1.886909e+01 -3.000000e+00 
-2.672008e+01 -1.786909e+01 -3.000000e+00 
-2.672008e+01 -1.686909e+01 -2.410836e+00 
-2.672008e+01 -1.586909e+01 -2.542659e+00 
-2.672008e+01 -1.486909e+01 -1.823464e+00 
-2.672008e+01 -1.386909e+01 -1.691075e+00 
-2.672008e+01 -1.286909e+01 -3.372707e-01 
-2.672008e+01 -1.186909e+01 1.090405e-01 
-2.672008e+01 -1.086909e+01 3.939824e-01 
-2.672008e+01 -9.869090e+00 4.562312e-01 
-2.672008e+01 -8.869090e+00 2.424889e-01 
-2.672008e+01 -7.869090e+00 -2.224343e-02 
-2.672008e+01 -6.869090e+00 -2.261080e-01 
-2.672008e+01 -5.869090e+00 -5.281034e-01 
-2.672008e+01 -4.869090e+00 -7.106657e-01 
-2.672008e+01 -3.869090e+00 -1.338408e+00 
-2.672008e+01 -2.869090e+00 -1.312417e+00 
-2.672008e+01 -1.869090e+00 -2.091992e+00 
-2.672008e+01 -8.690896e-01 -2.317904e+00 
-2.672008e+01 1.309104e-01 -2.563475e+00 
