A1a          A1b          A2a          A2b          
6.382172e-04 -3.903485e-04 -1.876553e-04 2.379032e-04 
6.412920e-04 -6.096084e-04 -1.027483e-03 1.053659e-03 
-5.738749e-04 1.660454e-03 1.959458e-04 -5.217049e-04 
8.736636e-04 -1.370235e-04 -3.189965e-04 3.592161e-04 
-7.257642e-04 -2.756701e-04 2.250126e-03 3.084379e-04 
NaN NaN NaN NaN 
5.032576e-04 3.621897e-04 2.562216e-04 -8.361046e-04 
1.257351e-04 8.620821e-04 -8.771851e-04 -1.047824e-03 
NaN NaN NaN NaN 
4.087604e-04 -1.131930e-04 -3.923919e-04 -3.444599e-04 
7.416575e-04 -1.976189e-03 1.121374e-03 1.790959e-03 
-4.306558e-04 5.992647e-04 2.140087e-04 -7.339094e-05 
NaN NaN NaN NaN 
5.384163e-05 -4.449800e-04 -3.591364e-05 4.876573e-04 
1.842849e-03 5.950213e-04 -4.046326e-04 9.840752e-05 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
-3.061761e-04 -4.358991e-04 1.219578e-04 2.266706e-04 
6.668456e-04 1.185612e-04 4.964824e-04 4.814039e-04 
2.855232e-04 1.627549e-03 2.351047e-04 -5.817181e-04 
3.594255e-04 7.004918e-04 -5.673044e-04 -2.899191e-04 
-7.571238e-04 -2.814989e-04 -2.846257e-04 1.145801e-03 
1.079948e-03 1.140327e-03 -1.588114e-03 -2.532343e-04 
3.739659e-04 2.656929e-04 -3.882198e-04 -3.656998e-04 
1.843913e-03 -5.297712e-04 -7.664431e-04 7.432419e-04 
-5.962356e-04 -1.312346e-04 9.335723e-04 -3.220468e-04 
-5.108876e-04 1.051441e-04 3.162044e-04 1.611019e-05 
-1.489057e-03 -1.896653e-03 1.605102e-03 3.172219e-03 
-1.038254e-03 -3.571916e-04 1.471193e-03 1.338508e-03 
5.602116e-04 7.403753e-04 -6.534378e-04 -2.829345e-04 
-1.253281e-04 -7.221319e-06 -3.301909e-04 1.475242e-03 
-8.379514e-04 -1.230058e-04 8.338820e-04 -3.126989e-04 
9.859492e-05 4.585847e-04 4.742706e-04 -5.422826e-04 
2.897137e-04 -2.920505e-04 -3.432872e-04 3.388297e-04 
3.807991e-04 -1.538459e-04 -6.360475e-05 5.578696e-04 
1.443002e-03 -1.166506e-03 -1.681577e-03 7.170861e-04 
NaN NaN NaN NaN 
1.440123e-03 -9.178404e-04 -1.579666e-03 -4.401849e-04 
1.571220e-03 -5.508692e-04 -7.172644e-04 -1.377872e-03 
8.509883e-04 -8.533638e-04 -2.032942e-03 -1.272631e-03 
