x0           y0           sigmax       sigmay       theta        rel_amp      sigma_rat    x0_sd        y0_sd        sigmax_sd    sigmay_sd    theta_sd     rel_amp_sd   sigma_rat_sd fwhm         
9.886100e+00 1.161499e+01 7.850019e-01 5.381360e-01 7.506888e+01 1.044660e+00 1.470527e+00 6.936652e-03 9.685678e-03 9.330102e-03 1.000208e-02 1.501968e+00 2.025934e-02 2.346846e-02 1.299904e+00 
1.379248e+01 1.155911e+01 7.388558e-01 5.659926e-01 6.231479e+01 8.002826e-01 1.307385e+00 7.901411e-03 9.514427e-03 1.217327e-02 9.238946e-03 2.262712e+00 2.154725e-02 2.318257e-02 1.293347e+00 
1.187050e+01 9.617018e+00 7.823946e-01 5.667257e-01 6.952592e+01 9.480999e-01 1.366559e+00 7.785320e-03 9.500379e-03 1.058681e-02 9.748269e-03 1.891099e+00 2.052729e-02 2.294902e-02 1.331770e+00 
5.947714e+00 7.747545e+00 8.204706e-01 5.424525e-01 7.423950e+01 9.629225e-01 1.508592e+00 4.929853e-03 6.938285e-03 5.911263e-03 8.381595e-03 9.523005e-01 1.424872e-02 1.751288e-02 1.334266e+00 
9.906245e+00 7.725870e+00 7.834398e-01 5.477249e-01 7.443024e+01 9.290395e-01 1.414899e+00 7.752326e-03 1.038145e-02 1.062832e-02 1.074977e-02 1.792972e+00 2.113894e-02 2.496326e-02 1.310129e+00 
1.383063e+01 7.609434e+00 7.687169e-01 5.757387e-01 6.284201e+01 8.029257e-01 1.357223e+00 8.429897e-03 1.018749e-02 1.153177e-02 1.053480e-02 2.058260e+00 2.162980e-02 2.496448e-02 1.330534e+00 
7.932075e+00 5.777419e+00 7.770473e-01 5.574605e-01 7.417558e+01 9.117101e-01 1.405857e+00 5.218671e-03 6.987791e-03 6.803080e-03 7.503983e-03 1.233515e+00 1.438122e-02 1.676890e-02 1.316318e+00 
1.185930e+01 5.729089e+00 7.863592e-01 5.582599e-01 6.951067e+01 8.220269e-01 1.429764e+00 7.921847e-03 1.026712e-02 1.164340e-02 9.870065e-03 1.745208e+00 2.099803e-02 2.394424e-02 1.325131e+00 
1.987100e+00 3.930530e+00 8.171737e-01 5.417288e-01 7.083083e+01 1.010097e+00 1.510099e+00 5.278293e-03 7.233100e-03 6.313557e-03 8.609356e-03 1.005566e+00 1.468694e-02 1.832862e-02 1.330694e+00 
5.963476e+00 3.832862e+00 8.187198e-01 5.447645e-01 7.471792e+01 9.491776e-01 1.515821e+00 4.794286e-03 6.701137e-03 6.356912e-03 7.030367e-03 9.268453e-01 1.404088e-02 1.607296e-02 1.335679e+00 
