freq           unkown         trans
3.40000E+01    1.52033E-02    9.84912E-01
3.41000E+01    1.53251E-02    9.84792E-01
3.42000E+01    1.54488E-02    9.84670E-01
3.43000E+01    1.55736E-02    9.84547E-01
3.44000E+01    1.57006E-02    9.84422E-01
3.45000E+01    1.58287E-02    9.84296E-01
3.46000E+01    1.59595E-02    9.84167E-01
3.47000E+01    1.60913E-02    9.84037E-01
3.48000E+01    1.62251E-02    9.83906E-01
3.49000E+01    1.63655E-02    9.83768E-01
3.50000E+01    1.64977E-02    9.83638E-01
3.51000E+01    1.66363E-02    9.83501E-01
3.52000E+01    1.67770E-02    9.83363E-01
3.53000E+01    1.69206E-02    9.83222E-01
3.54000E+01    1.70651E-02    9.83080E-01
3.55000E+01    1.72121E-02    9.82935E-01
3.56000E+01    1.73635E-02    9.82786E-01
3.57000E+01    1.75196E-02    9.82633E-01
3.58000E+01    1.76823E-02    9.82473E-01
3.59000E+01    1.78689E-02    9.82290E-01
3.60000E+01    1.82358E-02    9.81929E-01
3.61000E+01    1.82248E-02    9.81940E-01
3.62000E+01    1.83220E-02    9.81845E-01
3.63000E+01    1.84664E-02    9.81703E-01
3.64000E+01    1.86237E-02    9.81549E-01
3.65000E+01    1.87869E-02    9.81388E-01
3.66000E+01    1.89537E-02    9.81225E-01
3.67000E+01    1.91246E-02    9.81057E-01
3.68000E+01    1.92980E-02    9.80887E-01
3.69000E+01    1.94750E-02    9.80713E-01
3.70000E+01    1.96545E-02    9.80537E-01
3.71000E+01    1.98366E-02    9.80359E-01
3.72000E+01    2.00225E-02    9.80177E-01
3.73000E+01    2.02118E-02    9.79991E-01
3.74000E+01    2.04064E-02    9.79800E-01
3.75000E+01    2.06087E-02    9.79602E-01
3.76000E+01    2.08260E-02    9.79389E-01
3.77000E+01    2.10832E-02    9.79138E-01
3.78000E+01    2.16059E-02    9.78626E-01
3.79000E+01    2.16131E-02    9.78619E-01
3.80000E+01    2.16631E-02    9.78570E-01
3.81000E+01    2.18313E-02    9.78405E-01
3.82000E+01    2.20258E-02    9.78215E-01
