freq         Pxx_raw      Pxx_cm       Pxx_nocm     Pxx_nocm_np  
2.140625e-01 1.743552e-08 1.678656e-08 2.942376e-09 2.930192e-09 
2.156250e-01 1.958942e-08 1.817507e-08 3.239564e-09 3.202332e-09 
2.171875e-01 2.000709e-08 1.861365e-08 3.090803e-09 3.056308e-09 
2.187500e-01 1.938520e-08 1.813562e-08 3.164424e-09 3.137509e-09 
2.203125e-01 2.004286e-08 1.880202e-08 3.087124e-09 3.058209e-09 
2.218750e-01 1.922151e-08 1.811101e-08 2.901275e-09 2.872985e-09 
2.234375e-01 1.701170e-08 1.610459e-08 2.832206e-09 2.813807e-09 
2.250000e-01 1.661066e-08 1.666341e-08 2.279040e-09 2.293756e-09 
2.265625e-01 1.415781e-08 1.470609e-08 2.239902e-09 2.275346e-09 
2.281250e-01 1.365136e-08 1.419337e-08 2.354229e-09 2.387853e-09 
2.296875e-01 1.570045e-08 1.506904e-08 2.078789e-09 2.064791e-09 
2.312500e-01 1.641000e-08 1.558972e-08 2.116797e-09 2.093933e-09 
2.328125e-01 1.673845e-08 1.648417e-08 2.129882e-09 2.134406e-09 
2.343750e-01 1.642902e-08 1.555848e-08 2.352360e-09 2.335150e-09 
2.359375e-01 1.503400e-08 1.526894e-08 2.230085e-09 2.251665e-09 
2.375000e-01 1.740855e-08 1.669080e-08 2.140958e-09 2.124047e-09 
2.390625e-01 1.569183e-08 1.547835e-08 1.962700e-09 1.968042e-09 
2.406250e-01 1.433890e-08 1.478653e-08 2.103454e-09 2.133659e-09 
2.421875e-01 1.481705e-08 1.539223e-08 2.419879e-09 2.454000e-09 
2.437500e-01 1.553587e-08 1.553252e-08 2.487676e-09 2.500147e-09 
2.453125e-01 1.548290e-08 1.557558e-08 2.100514e-09 2.112560e-09 
2.468750e-01 1.366141e-08 1.335920e-08 2.032218e-09 2.032446e-09 
2.484375e-01 1.338089e-08 1.295042e-08 2.231001e-09 2.229310e-09 
2.500000e-01 1.527021e-08 1.417783e-08 2.165959e-09 2.134539e-09 
2.515625e-01 1.542188e-08 1.395696e-08 2.030819e-09 1.982625e-09 
2.531250e-01 1.513321e-08 1.412052e-08 1.879007e-09 1.844877e-09 
2.546875e-01 1.444354e-08 1.369034e-08 1.704157e-09 1.681386e-09 
2.562500e-01 1.538002e-08 1.457366e-08 1.401210e-09 1.368891e-09 
2.578125e-01 1.551630e-08 1.479215e-08 1.712954e-09 1.690273e-09 
2.593750e-01 1.369471e-08 1.349017e-08 2.081815e-09 2.081762e-09 
2.609375e-01 1.385616e-08 1.345680e-08 2.260003e-09 2.261447e-09 
2.625000e-01 1.430961e-08 1.425284e-08 2.257214e-09 2.269002e-09 
2.640625e-01 1.402655e-08 1.383574e-08 2.293110e-09 2.302746e-09 
2.656250e-01 1.494488e-08 1.459201e-08 2.420411e-09 2.424534e-09 
2.671875e-01 1.632534e-08 1.525328e-08 2.799056e-09 2.781396e-09 
2.687500e-01 1.641165e-08 1.559074e-08 2.804770e-09 2.794795e-09 
2.703125e-01 1.659760e-08 1.512252e-08 2.620714e-09 2.586032e-09 
2.718750e-01 1.470130e-08 1.386514e-08 2.233686e-09 2.212328e-09 
2.734375e-01 1.427408e-08 1.334822e-08 2.270937e-09 2.246593e-09 
2.750000e-01 1.436731e-08 1.349009e-08 2.302889e-09 2.279275e-09 
2.765625e-01 1.346029e-08 1.309040e-08 2.223163e-09 2.213827e-09 
2.781250e-01 1.205407e-08 1.225043e-08 2.349451e-09 2.360652e-09 
2.796875e-01 1.295739e-08 1.210177e-08 2.084528e-09 2.057221e-09 
2.812500e-01 1.248899e-08 1.235240e-08 1.996342e-09 1.994559e-09 
2.828125e-01 1.240772e-08 1.199684e-08 1.851631e-09 1.841872e-09 
2.843750e-01 1.243369e-08 1.234080e-08 1.806585e-09 1.806150e-09 
2.859375e-01 1.671580e-08 1.632810e-08 2.547993e-09 2.576614e-09 
2.875000e-01 1.660501e-08 1.604872e-08 2.508237e-09 2.529792e-09 
2.890625e-01 1.747560e-08 1.684045e-08 2.306136e-09 2.312313e-09 
2.906250e-01 1.746495e-08 1.689062e-08 3.011404e-09 3.033526e-09 
2.921875e-01 1.773790e-08 1.665313e-08 2.979880e-09 2.980922e-09 
2.937500e-01 1.864898e-08 1.748872e-08 3.018410e-09 3.012418e-09 
2.953125e-01 1.850664e-08 1.699541e-08 2.982537e-09 2.964997e-09 
2.968750e-01 1.928474e-08 1.779033e-08 2.780276e-09 2.752640e-09 
2.984375e-01 1.200576e-08 1.220980e-08 2.819479e-09 2.829240e-09 
3.000000e-01 1.227953e-08 1.110601e-08 3.128661e-09 3.109655e-09 
3.015625e-01 1.175863e-08 1.198194e-08 2.485216e-09 2.493532e-09 
3.031250e-01 1.270507e-08 1.223693e-08 2.530375e-09 2.523325e-09 
3.046875e-01 1.150076e-08 1.161329e-08 2.661821e-09 2.671815e-09 
3.062500e-01 1.273687e-08 1.246556e-08 2.875238e-09 2.875438e-09 
3.078125e-01 1.272709e-08 1.208568e-08 3.148928e-09 3.142171e-09 
3.093750e-01 1.313816e-08 1.251565e-08 3.129046e-09 3.120196e-09 
3.109375e-01 1.171919e-08 1.119902e-08 3.009118e-09 2.999816e-09 
3.125000e-01 1.195932e-08 1.070088e-08 3.152828e-09 3.131694e-09 
3.140625e-01 1.132778e-08 1.031120e-08 3.144266e-09 3.130576e-09 
3.156250e-01 1.229981e-08 1.128508e-08 3.085861e-09 3.067982e-09 
3.171875e-01 1.195798e-08 1.175847e-08 3.216106e-09 3.216170e-09 
3.187500e-01 1.177785e-08 1.173313e-08 2.877586e-09 2.878197e-09 
3.203125e-01 1.185140e-08 1.211048e-08 2.883848e-09 2.894168e-09 
3.218750e-01 1.221880e-08 1.217867e-08 2.830400e-09 2.834237e-09 
3.234375e-01 1.264063e-08 1.140154e-08 2.681270e-09 2.652861e-09 
3.250000e-01 1.209309e-08 1.101775e-08 2.642315e-09 2.618809e-09 
3.265625e-01 1.113009e-08 9.820162e-09 2.937501e-09 2.915249e-09 
3.281250e-01 1.037410e-08 9.127269e-09 2.641857e-09 2.620712e-09 
3.296875e-01 1.083336e-08 9.559543e-09 2.495490e-09 2.472841e-09 
3.312500e-01 9.024319e-09 9.109281e-09 2.469978e-09 2.482877e-09 
3.328125e-01 8.969748e-09 9.298058e-09 1.955160e-09 1.972324e-09 
3.343750e-01 9.804253e-09 9.901901e-09 2.150448e-09 2.162495e-09 
3.359375e-01 1.027522e-08 9.826616e-09 2.600818e-09 2.598175e-09 
3.375000e-01 9.796178e-09 9.950646e-09 2.749048e-09 2.759699e-09 
3.390625e-01 9.878029e-09 1.039257e-08 2.718664e-09 2.736946e-09 
3.406250e-01 9.914295e-09 1.020894e-08 2.687117e-09 2.701083e-09 
3.421875e-01 1.103503e-08 1.084512e-08 2.622207e-09 2.623973e-09 
3.437500e-01 9.845854e-09 1.054923e-08 2.689056e-09 2.711393e-09 
3.453125e-01 1.022856e-08 1.058616e-08 2.754259e-09 2.769395e-09 
3.468750e-01 1.062958e-08 1.000407e-08 1.896038e-09 1.882823e-09 
3.484375e-01 1.085469e-08 9.928824e-09 2.106203e-09 2.083410e-09 
3.500000e-01 1.021897e-08 9.606378e-09 2.085725e-09 2.071973e-09 
3.515625e-01 8.933338e-09 8.974475e-09 2.079384e-09 2.083455e-09 
3.531250e-01 9.547571e-09 8.948741e-09 2.146730e-09 2.135504e-09 
3.546875e-01 9.290207e-09 9.064023e-09 2.123481e-09 2.120671e-09 
3.562500e-01 1.030800e-08 9.713355e-09 2.146285e-09 2.140210e-09 
3.578125e-01 1.050000e-08 1.025938e-08 2.249379e-09 2.254130e-09 
3.593750e-01 1.076621e-08 1.021968e-08 1.924945e-09 1.920462e-09 
3.625000e-01 1.136452e-08 1.043683e-08 2.055021e-09 2.039580e-09 
3.640625e-01 1.037214e-08 9.949803e-09 1.973330e-09 1.971407e-09 
3.656250e-01 9.796456e-09 9.729925e-09 2.333051e-09 2.342346e-09 
3.671875e-01 9.190090e-09 9.139831e-09 2.541344e-09 2.549435e-09 
3.687500e-01 9.724274e-09 9.428756e-09 2.733363e-09 2.735166e-09 
3.703125e-01 1.003294e-08 9.819525e-09 2.795295e-09 2.797926e-09 
3.718750e-01 9.626938e-09 9.436936e-09 3.024842e-09 3.027540e-09 
3.734375e-01 9.049521e-09 9.102727e-09 2.938255e-09 2.945806e-09 
3.750000e-01 1.011492e-08 9.278270e-09 3.051300e-09 3.042034e-09 
3.765625e-01 9.466915e-09 8.748445e-09 3.147335e-09 3.143866e-09 
3.781250e-01 8.017221e-09 8.762053e-09 2.939528e-09 2.960227e-09 
3.812500e-01 8.234395e-09 8.484128e-09 2.717110e-09 2.734701e-09 
3.828125e-01 9.606947e-09 8.688363e-09 2.960245e-09 2.957265e-09 
3.843750e-01 9.027402e-09 8.565896e-09 2.933687e-09 2.940687e-09 
3.859375e-01 8.771160e-09 8.334826e-09 2.950810e-09 2.958714e-09 
3.875000e-01 9.483846e-09 8.323778e-09 2.463682e-09 2.451159e-09 
