fs           Pxxs         Pxxnos       
5.197525e+01 5.075083e-19 7.907957e-19 
5.221367e+01 5.070113e-19 5.128729e-19 
5.245209e+01 5.074244e-19 5.884506e-19 
5.269051e+01 5.225690e-19 6.446035e-19 
5.292892e+01 6.015507e-19 4.994791e-19 
5.316734e+01 6.241977e-19 4.686934e-19 
5.340576e+01 5.840725e-19 6.299253e-19 
5.364418e+01 6.697318e-19 6.184357e-19 
5.388260e+01 6.003018e-19 5.327802e-19 
5.412102e+01 6.956738e-19 5.682757e-19 
5.435944e+01 6.347419e-19 5.347013e-19 
5.459785e+01 6.305545e-19 4.854960e-19 
5.507469e+01 5.650504e-19 4.520713e-19 
5.531311e+01 6.500873e-19 6.000955e-19 
5.555153e+01 5.904897e-19 6.052415e-19 
5.578995e+01 6.765539e-19 5.648103e-19 
5.602837e+01 5.907135e-19 5.141529e-19 
5.626678e+01 6.213123e-19 5.299295e-19 
5.650520e+01 4.952597e-19 5.901914e-19 
5.674362e+01 4.440026e-19 6.089519e-19 
5.698204e+01 4.673612e-19 6.272388e-19 
5.722046e+01 5.000763e-19 5.878992e-19 
5.745888e+01 4.117465e-19 6.300996e-19 
5.769730e+01 4.540821e-19 6.577734e-19 
5.817413e+01 5.632846e-19 4.517294e-19 
5.841255e+01 5.603477e-19 5.611588e-19 
5.865097e+01 6.504838e-19 7.726304e-19 
5.888939e+01 4.241563e-19 6.119954e-19 
5.912781e+01 6.191134e-19 6.410758e-19 
5.936623e+01 5.657654e-19 6.960969e-19 
5.960464e+01 6.898429e-19 6.283461e-19 
6.008148e+01 1.033589e-18 1.311339e-18 
6.031990e+01 4.525422e-19 5.699575e-19 
6.055832e+01 4.025529e-19 6.688825e-19 
6.079674e+01 4.865369e-19 6.492327e-19 
6.103516e+01 5.600927e-19 7.913464e-19 
6.127357e+01 4.925376e-19 5.833560e-19 
6.175041e+01 5.991995e-19 6.006868e-19 
6.198883e+01 5.761552e-19 5.928691e-19 
6.222725e+01 6.266684e-19 4.067935e-19 
6.246567e+01 5.522357e-19 4.543513e-19 
6.270409e+01 4.254978e-19 4.260072e-19 
6.318092e+01 4.942900e-19 5.142830e-19 
6.341934e+01 5.341255e-19 4.840676e-19 
6.365776e+01 4.855897e-19 4.247677e-19 
6.389618e+01 6.129511e-19 5.131202e-19 
6.437302e+01 4.544537e-19 4.831884e-19 
6.461143e+01 4.488060e-19 4.842972e-19 
6.484985e+01 5.407593e-19 3.772307e-19 
6.508827e+01 4.429380e-19 4.738998e-19 
6.556511e+01 5.366093e-19 3.992548e-19 
6.580353e+01 3.408766e-19 4.679273e-19 
6.604195e+01 4.080592e-19 4.899520e-19 
6.628036e+01 4.547331e-19 4.982580e-19 
6.675720e+01 4.849099e-19 3.586908e-19 
6.699562e+01 4.813027e-19 3.733830e-19 
6.723404e+01 4.292985e-19 5.003331e-19 
6.771088e+01 5.383743e-19 4.085873e-19 
6.794930e+01 4.268174e-19 4.416081e-19 
6.818771e+01 4.514252e-19 3.829243e-19 
6.842613e+01 6.136871e-19 4.195306e-19 
6.890297e+01 4.266167e-19 5.461666e-19 
6.914139e+01 4.953132e-19 5.407454e-19 
6.937981e+01 4.908347e-19 4.725272e-19 
6.985664e+01 4.751725e-19 4.034542e-19 
7.009506e+01 4.024580e-19 4.717578e-19 
7.033348e+01 5.245051e-19 5.931502e-19 
7.081032e+01 4.400012e-19 3.823791e-19 
7.104874e+01 3.846800e-19 3.578589e-19 
7.152557e+01 4.339780e-19 4.038889e-19 
7.176399e+01 5.493299e-19 4.821698e-19 
7.200241e+01 4.305965e-19 4.706406e-19 
7.247925e+01 6.228245e-19 4.425046e-19 
7.271767e+01 5.376354e-19 3.460732e-19 
7.319450e+01 4.778964e-19 4.843097e-19 
7.343292e+01 5.200001e-19 4.516016e-19 
7.367134e+01 4.523854e-19 3.642128e-19 
7.414818e+01 4.734400e-19 4.053654e-19 
7.438660e+01 4.018235e-19 4.776377e-19 
7.486343e+01 3.781636e-19 3.956906e-19 
7.510185e+01 3.479682e-19 3.731783e-19 
7.557869e+01 5.434492e-19 4.779823e-19 
7.581711e+01 4.747211e-19 4.768119e-19 
7.605553e+01 4.192101e-19 4.037526e-19 
7.653236e+01 5.506326e-19 3.506428e-19 
7.677078e+01 4.994712e-19 4.077371e-19 
7.724762e+01 4.369742e-19 5.506227e-19 
7.748604e+01 3.244448e-19 4.037492e-19 
7.796288e+01 4.608550e-19 4.552874e-19 
7.820129e+01 5.651622e-19 4.689818e-19 
7.867813e+01 5.051238e-19 5.102601e-19 
7.891655e+01 5.164410e-19 3.893461e-19 
7.939339e+01 3.673113e-19 4.288801e-19 
7.987022e+01 3.647268e-19 3.706319e-19 
8.010864e+01 3.925688e-19 5.481589e-19 
8.058548e+01 3.404934e-19 3.595207e-19 
8.082390e+01 3.950153e-19 3.738038e-19 
8.130074e+01 4.405978e-19 3.410491e-19 
8.153915e+01 4.837887e-19 3.633227e-19 
8.201599e+01 4.746838e-19 3.651835e-19 
8.225441e+01 4.505710e-19 3.763467e-19 
8.273125e+01 4.581323e-19 3.582752e-19 
8.320808e+01 3.919979e-19 4.097091e-19 
8.344650e+01 4.176060e-19 3.407764e-19 
8.392334e+01 3.757817e-19 4.440911e-19 
8.440018e+01 3.595676e-19 3.814611e-19 
8.463860e+01 3.272138e-19 4.221845e-19 
8.511543e+01 3.698389e-19 4.208469e-19 
8.535385e+01 4.443826e-19 3.397731e-19 
8.583069e+01 4.896158e-19 4.275210e-19 
8.630753e+01 3.065385e-19 4.110776e-19 
8.654594e+01 3.985782e-19 3.719088e-19 
8.702278e+01 3.248750e-19 4.085343e-19 
8.749962e+01 3.557357e-19 3.494846e-19 
8.773804e+01 3.352925e-19 3.377710e-19 
8.821487e+01 2.395200e-19 5.118403e-19 
8.869171e+01 3.774033e-19 3.845523e-19 
8.916855e+01 3.533613e-19 4.317584e-19 
8.940697e+01 3.811945e-19 3.428847e-19 
8.988380e+01 3.532829e-19 3.698014e-19 
9.036064e+01 4.387394e-19 2.395846e-19 
9.083748e+01 3.824085e-19 3.834228e-19 
9.107590e+01 3.289126e-19 3.063391e-19 
9.155273e+01 3.677365e-19 4.273534e-19 
9.202957e+01 3.586787e-19 4.776977e-19 
9.250641e+01 3.110410e-19 3.559097e-19 
9.274483e+01 4.481418e-19 2.693032e-19 
9.322166e+01 3.576601e-19 4.270453e-19 
9.369850e+01 4.360997e-19 4.719640e-19 
9.417534e+01 3.238769e-19 4.744207e-19 
9.465218e+01 3.343429e-19 3.756640e-19 
9.489059e+01 3.556520e-19 3.920870e-19 
9.536743e+01 2.512512e-19 3.458103e-19 
9.584427e+01 3.291405e-19 4.781538e-19 
9.632111e+01 3.487085e-19 3.655502e-19 
9.679794e+01 2.930138e-19 4.086209e-19 
9.727478e+01 3.238259e-19 2.303173e-19 
9.775162e+01 3.598058e-19 4.325715e-19 
9.799004e+01 3.753005e-19 3.982381e-19 
9.846687e+01 3.191314e-19 2.567463e-19 
9.894371e+01 2.672647e-19 2.819129e-19 
9.942055e+01 3.377201e-19 2.825341e-19 
9.989738e+01 2.936620e-19 3.044608e-19 
1.003742e+02 2.354159e-19 3.205057e-19 
1.008511e+02 3.011875e-19 3.278830e-19 
1.013279e+02 3.921059e-19 2.914949e-19 
1.018047e+02 4.636973e-19 2.664835e-19 
1.022816e+02 2.768420e-19 4.080530e-19 
1.027584e+02 3.435048e-19 3.469960e-19 
1.032352e+02 4.048343e-19 2.696874e-19 
1.037121e+02 3.129859e-19 3.625454e-19 
1.041889e+02 3.470631e-19 3.073183e-19 
1.046658e+02 2.811122e-19 2.854760e-19 
1.051426e+02 2.800743e-19 3.134562e-19 
1.056194e+02 2.867246e-19 3.420715e-19 
1.060963e+02 2.686599e-19 3.044870e-19 
1.065731e+02 2.793465e-19 2.941292e-19 
1.070499e+02 3.611908e-19 2.870314e-19 
1.075268e+02 3.076240e-19 3.122269e-19 
1.080036e+02 3.130036e-19 2.596585e-19 
1.084805e+02 3.936995e-19 3.144692e-19 
1.089573e+02 2.264217e-19 2.404165e-19 
1.094341e+02 3.039551e-19 3.482295e-19 
1.101494e+02 2.906554e-19 3.514095e-19 
1.106262e+02 4.195548e-19 2.434013e-19 
1.111031e+02 2.647281e-19 3.012531e-19 
1.115799e+02 2.688461e-19 2.951293e-19 
1.120567e+02 3.291277e-19 2.564919e-19 
1.125336e+02 2.935985e-19 3.234487e-19 
1.132488e+02 3.681910e-19 3.463273e-19 
1.137257e+02 2.614585e-19 3.812382e-19 
1.142025e+02 2.773477e-19 2.460171e-19 
1.146793e+02 2.015476e-19 2.928571e-19 
1.151562e+02 2.667782e-19 2.865758e-19 
1.158714e+02 2.479790e-19 2.368997e-19 
1.163483e+02 3.877254e-19 3.055488e-19 
1.168251e+02 3.459768e-19 2.790384e-19 
1.173019e+02 2.507895e-19 2.810348e-19 
1.180172e+02 2.827429e-19 2.842030e-19 
1.184940e+02 2.384543e-19 2.759063e-19 
1.189709e+02 2.476768e-19 2.731146e-19 
1.194477e+02 2.659247e-19 2.495209e-19 
1.201630e+02 3.925268e-19 3.293185e-19 
1.206398e+02 3.098383e-19 2.568712e-19 
1.211166e+02 2.228977e-19 2.434292e-19 
1.218319e+02 3.291992e-19 3.283072e-19 
1.223087e+02 2.647381e-19 2.764034e-19 
1.227856e+02 2.306232e-19 2.730458e-19 
1.235008e+02 3.123829e-19 3.520457e-19 
1.239777e+02 2.443656e-19 2.530180e-19 
1.246929e+02 2.776055e-19 2.852706e-19 
1.251698e+02 3.107480e-19 2.825701e-19 
1.256466e+02 2.966336e-19 2.618519e-19 
1.263618e+02 2.486188e-19 2.983662e-19 
1.268387e+02 1.957829e-19 2.476807e-19 
1.275539e+02 1.905428e-19 3.118311e-19 
1.280308e+02 2.406152e-19 2.774355e-19 
1.287460e+02 2.199557e-19 1.962977e-19 
1.292229e+02 3.403147e-19 2.393082e-19 
1.299381e+02 2.180086e-19 3.242528e-19 
1.304150e+02 2.826220e-19 3.611517e-19 
1.311302e+02 2.542131e-19 2.627846e-19 
1.316071e+02 1.766208e-19 3.134871e-19 
1.323223e+02 2.620510e-19 2.391885e-19 
1.327991e+02 2.624169e-19 1.879054e-19 
1.335144e+02 2.761731e-19 2.658997e-19 
1.342297e+02 2.095571e-19 2.139292e-19 
1.347065e+02 3.011053e-19 2.653203e-19 
1.354218e+02 2.406711e-19 2.288087e-19 
1.358986e+02 2.983118e-19 2.821631e-19 
1.366138e+02 2.069732e-19 2.739598e-19 
1.373291e+02 2.859065e-19 2.540379e-19 
1.378059e+02 2.282982e-19 3.458656e-19 
1.385212e+02 2.265081e-19 2.429949e-19 
1.392365e+02 2.174141e-19 2.015650e-19 
1.397133e+02 2.177135e-19 2.957858e-19 
1.404285e+02 2.085862e-19 2.171164e-19 
1.411438e+02 2.914083e-19 2.163885e-19 
1.418591e+02 2.553256e-19 1.980760e-19 
1.423359e+02 2.629471e-19 2.968863e-19 
1.430511e+02 2.919631e-19 2.108145e-19 
1.437664e+02 2.348037e-19 2.310862e-19 
1.444817e+02 1.653700e-19 2.506802e-19 
1.449585e+02 2.152515e-19 1.993762e-19 
1.456738e+02 2.209135e-19 2.739459e-19 
1.463890e+02 1.978108e-19 2.370335e-19 
1.471043e+02 3.046111e-19 2.355162e-19 
1.478195e+02 2.018802e-19 2.501644e-19 
1.482964e+02 2.405681e-19 2.479077e-19 
1.490116e+02 1.945899e-19 2.754890e-19 
1.497269e+02 2.513251e-19 2.415316e-19 
1.504421e+02 4.043152e-19 2.211371e-19 
1.511574e+02 2.636560e-19 3.203438e-19 
1.518726e+02 2.313605e-19 2.339042e-19 
1.525879e+02 2.526716e-19 2.527504e-19 
1.533031e+02 2.835190e-19 1.997864e-19 
1.540184e+02 2.594914e-19 2.034786e-19 
1.547337e+02 2.158248e-19 2.483916e-19 
1.554489e+02 2.220179e-19 2.152530e-19 
1.561642e+02 2.499137e-19 1.733243e-19 
1.568794e+02 2.051909e-19 2.122984e-19 
1.575947e+02 2.247340e-19 2.505661e-19 
1.583099e+02 2.127110e-19 2.263690e-19 
1.590252e+02 2.288290e-19 2.135153e-19 
1.597404e+02 1.859367e-19 1.845655e-19 
1.604557e+02 1.774373e-19 2.093600e-19 
1.611710e+02 2.144635e-19 2.531709e-19 
1.618862e+02 2.142593e-19 2.156148e-19 
1.628399e+02 2.587438e-19 2.704983e-19 
1.635551e+02 1.763160e-19 2.302148e-19 
1.642704e+02 2.465394e-19 2.539957e-19 
1.649857e+02 2.264915e-19 1.886453e-19 
1.657009e+02 2.240271e-19 2.643288e-19 
1.664162e+02 1.973002e-19 2.494245e-19 
1.673698e+02 2.206351e-19 1.868277e-19 
1.680851e+02 1.842135e-19 2.202022e-19 
1.688004e+02 2.543874e-19 2.180272e-19 
1.695156e+02 1.972060e-19 2.266022e-19 
1.704693e+02 1.842026e-19 2.611546e-19 
1.711845e+02 1.904818e-19 1.790154e-19 
1.718998e+02 2.384889e-19 1.644205e-19 
1.728535e+02 1.873586e-19 2.523410e-19 
1.735687e+02 1.940910e-19 1.918769e-19 
