f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
6.246567e+01 2.588373e-10 2.895235e-10 3.362741e-10 3.605241e-10 4.148504e-10 5.151872e-10 4.982984e-10 5.880906e-10 6.396676e-16 6.596823e-16 6.891655e-16 6.948178e-16 7.282525e-16 8.061423e-16 7.681471e-16 8.212279e-16 
6.532669e+01 2.520709e-10 2.819478e-10 3.275306e-10 3.510422e-10 4.044047e-10 5.041756e-10 4.865974e-10 5.759102e-10 6.229456e-16 6.424209e-16 6.712464e-16 6.765439e-16 7.099155e-16 7.889117e-16 7.501096e-16 8.042188e-16 
6.842613e+01 2.451803e-10 2.741941e-10 3.185127e-10 3.412344e-10 3.935266e-10 4.925462e-10 4.743154e-10 5.629965e-10 6.059168e-16 6.247540e-16 6.527650e-16 6.576419e-16 6.908194e-16 7.707146e-16 7.311763e-16 7.861856e-16 
7.176399e+01 2.382390e-10 2.663433e-10 3.093100e-10 3.311954e-10 3.823149e-10 4.803876e-10 4.615540e-10 5.494402e-10 5.887629e-16 6.068658e-16 6.339047e-16 6.382943e-16 6.711378e-16 7.516893e-16 7.115041e-16 7.672553e-16 
7.486343e+01 2.322090e-10 2.594899e-10 3.012165e-10 3.223409e-10 3.723615e-10 4.694465e-10 4.501378e-10 5.371940e-10 5.738607e-16 5.912504e-16 6.173178e-16 6.212294e-16 6.536651e-16 7.345692e-16 6.939056e-16 7.501543e-16 
7.867813e+01 2.252959e-10 2.515946e-10 2.918221e-10 3.120323e-10 3.606975e-10 4.564493e-10 4.366558e-10 5.225881e-10 5.567762e-16 5.732608e-16 5.980647e-16 6.013622e-16 6.331894e-16 7.142318e-16 6.731226e-16 7.297582e-16 
8.225441e+01 2.192850e-10 2.446958e-10 2.835506e-10 3.029279e-10 3.503279e-10 4.447355e-10 4.245764e-10 5.093704e-10 5.419215e-16 5.575420e-16 5.811132e-16 5.838159e-16 6.149859e-16 6.959025e-16 6.545017e-16 7.113006e-16 
8.630753e+01 2.129760e-10 2.374203e-10 2.747626e-10 2.932254e-10 3.392064e-10 4.320062e-10 4.115234e-10 4.949490e-10 5.263300e-16 5.409647e-16 5.631029e-16 5.651167e-16 5.954626e-16 6.759842e-16 6.343800e-16 6.911621e-16 
9.036064e+01 2.071550e-10 2.306756e-10 2.665548e-10 2.841348e-10 3.287200e-10 4.198467e-10 3.991236e-10 4.811169e-10 5.119446e-16 5.255966e-16 5.462815e-16 5.475971e-16 5.770542e-16 6.569576e-16 6.152651e-16 6.718466e-16 
9.441376e+01 2.017776e-10 2.244167e-10 2.588844e-10 2.756139e-10 3.188320e-10 4.082416e-10 3.873491e-10 4.678642e-10 4.986554e-16 5.113358e-16 5.305618e-16 5.311751e-16 5.596962e-16 6.387985e-16 5.971142e-16 6.533400e-16 
9.894371e+01 1.962432e-10 2.179462e-10 2.508985e-10 2.667149e-10 3.084441e-10 3.959042e-10 3.748933e-10 4.537202e-10 4.849780e-16 4.965927e-16 5.141953e-16 5.140246e-16 5.414607e-16 6.194935e-16 5.779132e-16 6.335889e-16 
1.037121e+02 1.909063e-10 2.116782e-10 2.431063e-10 2.580035e-10 2.982139e-10 3.836087e-10 3.625402e-10 4.395674e-10 4.717889e-16 4.823109e-16 4.982258e-16 4.972356e-16 5.235021e-16 6.002539e-16 5.588704e-16 6.138255e-16 
1.084805e+02 1.860193e-10 2.059133e-10 2.358889e-10 2.499086e-10 2.886526e-10 3.719866e-10 3.509169e-10 4.261374e-10 4.597117e-16 4.691755e-16 4.834345e-16 4.816348e-16 5.067176e-16 5.820682e-16 5.409525e-16 5.950714e-16 
1.137257e+02 1.811081e-10 2.000946e-10 2.285532e-10 2.416540e-10 2.788468e-10 3.599363e-10 3.389173e-10 4.121582e-10 4.475746e-16 4.559175e-16 4.684004e-16 4.657261e-16 4.895038e-16 5.632125e-16 5.224547e-16 5.755505e-16 
1.189709e+02 1.766310e-10 1.947674e-10 2.217902e-10 2.340185e-10 2.697252e-10 3.486079e-10 3.276825e-10 3.989653e-10 4.365102e-16 4.437794e-16 4.545404e-16 4.510107e-16 4.734912e-16 5.454862e-16 5.051358e-16 5.571275e-16 
1.244545e+02 1.723630e-10 1.896681e-10 2.152730e-10 2.266360e-10 2.608577e-10 3.374848e-10 3.166926e-10 3.859626e-10 4.259625e-16 4.321607e-16 4.411839e-16 4.367828e-16 4.579247e-16 5.280813e-16 4.881945e-16 5.389700e-16 
1.304150e+02 1.681479e-10 1.846114e-10 2.087661e-10 2.192400e-10 2.519252e-10 3.261699e-10 3.055532e-10 3.726847e-10 4.155457e-16 4.206389e-16 4.278486e-16 4.225288e-16 4.422441e-16 5.103763e-16 4.710227e-16 5.204284e-16 
1.366138e+02 1.641778e-10 1.798292e-10 2.025704e-10 2.121727e-10 2.433426e-10 3.151934e-10 2.947836e-10 3.597537e-10 4.057345e-16 4.097428e-16 4.151509e-16 4.089086e-16 4.271778e-16 4.932008e-16 4.544208e-16 5.023712e-16 
1.430511e+02 1.604476e-10 1.753183e-10 1.966867e-10 2.054377e-10 2.351189e-10 3.045788e-10 2.844013e-10 3.472006e-10 3.965161e-16 3.994645e-16 4.030928e-16 3.959284e-16 4.127414e-16 4.765916e-16 4.384162e-16 4.848417e-16 
1.497269e+02 1.569500e-10 1.710726e-10 1.911126e-10 1.990342e-10 2.272583e-10 2.943431e-10 2.744182e-10 3.350489e-10 3.878724e-16 3.897906e-16 3.916691e-16 3.835875e-16 3.989424e-16 4.605752e-16 4.230268e-16 4.678727e-16 
1.568794e+02 1.535691e-10 1.669534e-10 1.856694e-10 1.927586e-10 2.195132e-10 2.841711e-10 2.645233e-10 3.229257e-10 3.795171e-16 3.804050e-16 3.805138e-16 3.714928e-16 3.853462e-16 4.446583e-16 4.077734e-16 4.509434e-16 
1.642704e+02 1.504231e-10 1.631067e-10 1.805538e-10 1.868392e-10 2.121685e-10 2.744439e-10 2.550841e-10 3.112870e-10 3.717423e-16 3.716403e-16 3.700298e-16 3.600847e-16 3.724529e-16 4.294377e-16 3.932225e-16 4.346907e-16 
1.718998e+02 1.474981e-10 1.595184e-10 1.757524e-10 1.812633e-10 2.052135e-10 2.651590e-10 2.460938e-10 3.001337e-10 3.645138e-16 3.634643e-16 3.601897e-16 3.493386e-16 3.602437e-16 4.149091e-16 3.793635e-16 4.191160e-16 
1.800060e+02 1.447022e-10 1.560776e-10 1.711209e-10 1.758655e-10 1.984452e-10 2.560528e-10 2.372940e-10 2.891517e-10 3.576041e-16 3.556244e-16 3.506979e-16 3.389357e-16 3.483623e-16 4.006601e-16 3.657982e-16 4.037804e-16 
1.885891e+02 1.420450e-10 1.527979e-10 1.666806e-10 1.706720e-10 1.918986e-10 2.471770e-10 2.287324e-10 2.784039e-10 3.510374e-16 3.481515e-16 3.415979e-16 3.289266e-16 3.368700e-16 3.867718e-16 3.526002e-16 3.887717e-16 
