xbinc        data         
-2.900000e+00 -3.435235e+01 
-2.800000e+00 -3.438418e+01 
-2.700000e+00 -3.552826e+01 
-2.600000e+00 -3.430454e+01 
-2.500000e+00 -3.462164e+01 
-2.400000e+00 -3.540640e+01 
-2.300000e+00 -3.474581e+01 
-2.200000e+00 -3.688430e+01 
-2.100000e+00 -3.684018e+01 
-2.000000e+00 -3.655121e+01 
-1.900000e+00 -3.424031e+01 
-1.800000e+00 -3.356928e+01 
-1.700000e+00 -3.272847e+01 
-1.600000e+00 -3.617617e+01 
-1.500000e+00 -3.514359e+01 
-1.400000e+00 -3.434871e+01 
-1.300000e+00 -3.778402e+01 
-1.200000e+00 -3.357508e+01 
-1.100000e+00 -3.295355e+01 
-1.000000e+00 -3.682038e+01 
-9.000000e-01 -3.535738e+01 
-8.000000e-01 -3.530646e+01 
-7.000000e-01 -3.525918e+01 
-6.000000e-01 -3.384497e+01 
-5.000000e-01 -3.587813e+01 
-4.000000e-01 -3.415924e+01 
-3.000000e-01 -3.747017e+01 
-2.000000e-01 -3.585778e+01 
-1.000000e-01 -3.529396e+01 
0.000000e+00 -3.552882e+01 
1.000000e-01 -3.609810e+01 
2.000000e-01 -3.365797e+01 
3.000000e-01 -3.498070e+01 
4.000000e-01 -3.490719e+01 
5.000000e-01 -3.501556e+01 
6.000000e-01 -3.641650e+01 
7.000000e-01 -3.719065e+01 
8.000000e-01 -3.518269e+01 
9.000000e-01 -3.658607e+01 
1.000000e+00 -3.642421e+01 
1.100000e+00 -3.592894e+01 
1.200000e+00 -3.488551e+01 
1.300000e+00 -3.526719e+01 
1.400000e+00 -3.553182e+01 
1.500000e+00 -3.638515e+01 
1.600000e+00 -3.613148e+01 
1.700000e+00 -3.605495e+01 
1.800000e+00 -3.841882e+01 
1.900000e+00 -4.571747e+01 
2.000000e+00 -4.021966e+01 
2.100000e+00 -3.970880e+01 
2.200000e+00 -3.881822e+01 
2.300000e+00 -4.349657e+01 
2.400000e+00 -4.226787e+01 
2.500000e+00 -4.124005e+01 
2.600000e+00 -5.140786e+01 
2.700000e+00 -5.190808e+01 
2.800000e+00 -4.846841e+01 
2.900000e+00 -5.149637e+01 
3.000000e+00 -5.404345e+01 
3.100000e+00 -5.238947e+01 
3.200000e+00 -5.512739e+01 
3.300000e+00 -6.463724e+01 
3.400000e+00 -6.249155e+01 
3.500000e+00 -6.529484e+01 
3.600000e+00 -6.467178e+01 
3.700000e+00 -7.127314e+01 
3.800000e+00 -8.014256e+01 
3.900000e+00 -8.064200e+01 
4.000000e+00 -8.272506e+01 
4.100000e+00 -8.631147e+01 
4.200000e+00 -8.740290e+01 
4.300000e+00 -9.796834e+01 
4.400000e+00 -9.850454e+01 
4.500000e+00 -1.087623e+02 
4.600000e+00 -1.175834e+02 
4.700000e+00 -1.179968e+02 
4.800000e+00 -1.186682e+02 
4.900000e+00 -1.286369e+02 
5.000000e+00 -1.324999e+02 
5.100000e+00 -1.273588e+02 
5.200000e+00 -1.373283e+02 
5.300000e+00 -1.314574e+02 
5.400000e+00 -1.390220e+02 
5.500000e+00 -1.356678e+02 
5.600000e+00 -1.366337e+02 
5.700000e+00 -1.394773e+02 
5.800000e+00 -1.429005e+02 
5.900000e+00 -1.429151e+02 
6.000000e+00 -1.436159e+02 
6.100000e+00 -1.515640e+02 
6.200000e+00 -1.442995e+02 
6.300000e+00 -1.499801e+02 
6.400000e+00 -1.469910e+02 
6.500000e+00 -1.502645e+02 
6.600000e+00 -1.510778e+02 
6.700000e+00 -1.510279e+02 
6.800000e+00 -1.556809e+02 
6.900000e+00 -1.508319e+02 
7.000000e+00 -1.569059e+02 
7.100000e+00 -1.546644e+02 
7.200000e+00 -1.554303e+02 
7.300000e+00 -1.541337e+02 
7.400000e+00 -1.563285e+02 
7.500000e+00 -1.554910e+02 
7.600000e+00 -1.541445e+02 
7.700000e+00 -1.626665e+02 
7.800000e+00 -1.542862e+02 
7.900000e+00 -1.571433e+02 
8.000000e+00 -1.587789e+02 
8.100000e+00 -1.542266e+02 
