x0           y0           sigmax       sigmay       theta        rel_amp      
-3.367489e+00 -1.704278e+00 7.675786e-01 5.125486e-01 1.130878e+00 9.441633e-01 
-3.410579e+00 1.621460e+00 6.764636e-01 4.818735e-01 9.504439e-01 1.067065e+00 
-1.630816e+00 -1.194935e+01 7.370334e-01 4.706438e-01 1.329226e+00 9.396541e-01 
-1.595499e+00 -8.459910e+00 6.044499e-01 5.828488e-01 7.271613e-01 9.239318e-01 
-1.678890e+00 -1.671512e+00 7.173742e-01 4.966642e-01 1.134605e+00 9.096954e-01 
8.502640e-02 -1.180976e+01 7.695844e-01 5.048923e-01 1.151335e+00 7.271880e-01 
8.808232e-02 -8.407964e+00 6.218637e-01 5.542128e-01 7.754105e-01 9.680493e-01 
2.901967e-02 -5.086977e+00 7.870259e-01 4.920107e-01 1.114427e+00 8.991063e-01 
-1.227352e-02 -1.712340e+00 6.441783e-01 4.963102e-01 9.011299e-01 1.040217e+00 
1.792560e+00 -1.194870e+01 5.900017e-01 6.362538e-01 6.510322e-01 9.413709e-01 
1.805669e+00 -8.352685e+00 6.118757e-01 5.783693e-01 8.049288e-01 1.017361e+00 
1.754149e+00 -4.974442e+00 7.141622e-01 4.719093e-01 1.088191e+00 9.279815e-01 
3.420443e+00 -1.191470e+01 7.009041e-01 4.626670e-01 1.226789e+00 9.431608e-01 
3.466849e+00 -8.366614e+00 6.757689e-01 5.505228e-01 8.464311e-01 9.358633e-01 
3.429894e+00 -4.999680e+00 7.059511e-01 4.845219e-01 1.154208e+00 9.470069e-01 
5.072374e+00 -1.172834e+01 7.266857e-01 4.631227e-01 1.276756e+00 9.376245e-01 
5.133536e+00 -8.322715e+00 6.364983e-01 5.946287e-01 8.656064e-01 1.050433e+00 
6.814793e+00 -1.178887e+01 7.464818e-01 4.947830e-01 1.369054e+00 9.769719e-01 
6.781396e+00 -8.357247e+00 6.933888e-01 4.761967e-01 1.197938e+00 1.042543e+00 
8.498003e+00 -1.171210e+01 6.620013e-01 7.231053e-01 7.462162e-01 8.199904e-01 
-6.790995e+00 -2.313492e-02 8.110451e-01 4.892533e-01 1.306445e+00 8.762751e-01 
-6.855647e+00 3.420089e+00 6.743546e-01 6.310027e-01 6.114187e-01 8.903473e-01 
-5.007275e+00 -1.022095e+01 7.672236e-01 5.149244e-01 1.310954e+00 7.350123e-01 
-5.028540e+00 -6.790365e+00 7.375117e-01 5.723405e-01 9.772991e-01 8.710768e-01 
-5.069233e+00 -3.485623e+00 6.377404e-01 5.902358e-01 5.821757e-01 8.748820e-01 
-3.340550e+00 -1.369476e+01 7.895862e-01 5.035566e-01 1.025241e+00 7.495955e-01 
-3.313086e+00 -1.015841e+01 6.897214e-01 5.286806e-01 9.100044e-01 8.452031e-01 
-1.642921e+00 -1.364569e+01 7.199695e-01 5.190191e-01 9.735122e-01 8.103302e-01 
-1.612189e+00 -1.016556e+01 6.736801e-01 5.607203e-01 7.948891e-01 9.318279e-01 
-1.604316e+00 -6.755704e+00 6.727301e-01 5.717637e-01 8.097090e-01 8.937767e-01 
-1.674585e+00 -3.427228e+00 6.853778e-01 5.388436e-01 1.090997e+00 7.776316e-01 
1.225803e-01 -1.365862e+01 7.138274e-01 6.563604e-01 1.004379e+00 8.353069e-01 
4.944129e-02 -1.014387e+01 6.780993e-01 5.279801e-01 1.025874e+00 9.293805e-01 
6.456055e-02 -6.761281e+00 7.372658e-01 4.849566e-01 1.067863e+00 9.794378e-01 
3.876407e-02 -3.385313e+00 7.237762e-01 4.410516e-01 1.194312e+00 1.010977e+00 
1.697423e+00 -1.363463e+01 6.324079e-01 6.107410e-01 6.261388e-01 8.402427e-01 
1.747910e+00 -1.008221e+01 6.496488e-01 5.736846e-01 9.421097e-01 8.534542e-01 
1.751771e+00 -6.668139e+00 7.615939e-01 4.691335e-01 1.183829e+00 9.270381e-01 
3.372679e+00 -1.367595e+01 7.250252e-01 5.171579e-01 9.356827e-01 8.743915e-01 
3.463606e+00 -1.015633e+01 7.287453e-01 5.639437e-01 1.061409e+00 8.948612e-01 
3.442352e+00 -6.638283e+00 5.911326e-01 6.500193e-01 4.620226e-01 8.591091e-01 
5.103183e+00 -1.355825e+01 7.045852e-01 6.217499e-01 1.014555e+00 8.762141e-01 
5.127508e+00 -1.009775e+01 6.675937e-01 5.320133e-01 9.019651e-01 1.003489e+00 
6.804332e+00 -1.355835e+01 5.560154e-01 6.647687e-01 7.946604e-01 8.759828e-01 
6.806265e+00 -1.000996e+01 5.821736e-01 5.757964e-01 6.589748e-01 1.036825e+00 
8.542711e+00 -1.348082e+01 6.340604e-01 5.465067e-01 9.902749e-01 8.502144e-01 
-1.342454e+01 -1.194540e+01 9.223746e-01 6.069869e-01 9.047121e-01 4.696864e-01 
-1.352169e+01 -8.725217e+00 1.054810e+00 5.719224e-01 1.176742e+00 6.028590e-01 
-1.352575e+01 -5.386202e+00 9.651448e-01 5.798083e-01 9.862844e-01 5.846658e-01 
-1.358340e+01 -1.878335e+00 9.256284e-01 5.232969e-01 1.160583e+00 6.002941e-01 
-1.359185e+01 1.609536e+00 1.016478e+00 5.996799e-01 1.012909e+00 5.346646e-01 
-1.359356e+01 8.447258e+00 8.430677e-01 5.053220e-01 1.111568e+00 6.384994e-01 
-1.196807e+01 1.024721e+01 7.633987e-01 5.796909e-01 9.656408e-01 6.442027e-01 
-1.178068e+01 -1.210685e+01 8.310757e-01 5.674094e-01 9.321077e-01 6.229641e-01 
-1.179704e+01 -8.593484e+00 8.465550e-01 6.256295e-01 9.030791e-01 6.353952e-01 
-1.184490e+01 -5.266311e+00 7.977059e-01 5.713451e-01 9.469727e-01 7.035615e-01 
-1.193901e+01 1.561149e+00 7.711668e-01 4.528427e-01 1.048289e+00 7.510876e-01 
-1.193782e+01 4.998013e+00 8.722492e-01 4.649935e-01 1.093450e+00 7.445467e-01 
-1.199450e+01 8.459042e+00 8.337772e-01 5.455288e-01 9.710978e-01 6.732874e-01 
-1.017110e+01 -1.206240e+01 5.290306e-01 6.532057e-01 2.717423e-01 7.664247e-01 
-1.014571e+01 -8.659186e+00 8.949607e-01 4.857032e-01 1.202750e+00 7.691897e-01 
-1.020765e+01 -1.793143e+00 7.983454e-01 5.502364e-01 9.248366e-01 8.531671e-01 
-1.020419e+01 1.625301e+00 7.121310e-01 6.022704e-01 7.222882e-01 7.446269e-01 
-1.030929e+01 5.053057e+00 6.947904e-01 5.415283e-01 7.610099e-01 8.516971e-01 
-8.432338e+00 -1.201437e+01 6.908238e-01 5.943494e-01 9.861173e-01 7.949629e-01 
-8.436483e+00 -8.577575e+00 8.595302e-01 5.093374e-01 1.023839e+00 8.899967e-01 
-8.445237e+00 -5.181458e+00 8.017187e-01 5.622382e-01 8.878107e-01 7.997309e-01 
-8.468312e+00 -1.805898e+00 7.651274e-01 4.983391e-01 1.038443e+00 8.828058e-01 
-8.498747e+00 1.619251e+00 8.723217e-01 4.992851e-01 1.248069e+00 7.921982e-01 
-8.592915e+00 5.080969e+00 7.158760e-01 5.250729e-01 1.028768e+00 9.035512e-01 
-6.773023e+00 -1.210611e+01 7.820107e-01 5.424753e-01 9.478872e-01 8.542901e-01 
-6.751529e+00 -5.112635e+00 7.545890e-01 5.348431e-01 8.652797e-01 8.782698e-01 
-6.793195e+00 -1.857448e+00 8.015207e-01 5.149749e-01 1.068860e+00 8.722730e-01 
-1.348153e+01 -7.038892e+00 8.239824e-01 5.090184e-01 1.112250e+00 6.565543e-01 
-1.355288e+01 -3.644415e+00 1.083129e+00 5.843920e-01 1.197989e+00 4.951670e-01 
-1.360102e+01 -1.683459e-01 9.242729e-01 4.996859e-01 1.119140e+00 6.795548e-01 
-1.363318e+01 3.249889e+00 8.889838e-01 5.038072e-01 9.757781e-01 6.198009e-01 
-1.180004e+01 -1.381093e+01 8.367839e-01 5.094498e-01 1.155141e+00 6.122708e-01 
-1.183079e+01 -1.031267e+01 8.309901e-01 5.407190e-01 1.178660e+00 7.280969e-01 
-1.185758e+01 -6.957849e+00 8.725875e-01 5.574666e-01 1.068900e+00 7.257533e-01 
-1.183193e+01 -3.584723e+00 8.604243e-01 5.054273e-01 1.012740e+00 7.424503e-01 
-1.191212e+01 -1.342372e-01 9.090900e-01 4.830591e-01 1.172134e+00 7.797855e-01 
-1.192774e+01 3.298724e+00 7.437415e-01 5.378696e-01 8.423350e-01 8.727217e-01 
-1.195584e+01 6.696925e+00 8.013755e-01 4.989760e-01 1.037718e+00 7.362755e-01 
-1.008536e+01 -1.375422e+01 7.525662e-01 5.461813e-01 9.323958e-01 7.457232e-01 
-1.015117e+01 -1.046273e+01 7.610644e-01 5.746710e-01 8.345258e-01 7.534495e-01 
-1.014661e+01 -6.947967e+00 8.698435e-01 4.920454e-01 1.060634e+00 8.168225e-01 
-1.016017e+01 -3.534318e+00 7.691001e-01 4.998094e-01 1.070361e+00 8.583417e-01 
-1.021368e+01 -9.591404e-02 7.492058e-01 5.249693e-01 1.122430e+00 9.109133e-01 
-1.026262e+01 3.308942e+00 7.783887e-01 4.740158e-01 1.100460e+00 9.450701e-01 
-8.422948e+00 -1.372499e+01 7.503273e-01 5.066258e-01 1.329931e+00 7.866773e-01 
-8.472840e+00 -1.032040e+01 7.908190e-01 5.413044e-01 1.048681e+00 8.779360e-01 
-8.474457e+00 -6.900523e+00 8.328234e-01 5.436552e-01 8.884318e-01 8.441054e-01 
-8.469332e+00 -3.453295e+00 7.790491e-01 5.510165e-01 1.127246e+00 8.711863e-01 
-6.728037e+00 -1.025564e+01 7.724061e-01 5.101123e-01 1.062792e+00 9.287488e-01 
-6.755148e+00 -6.828832e+00 8.670928e-01 4.696155e-01 1.181820e+00 8.699994e-01 
