t            Tb_tes       
9.024000e+00 -7.863450e-02 
9.056000e+00 -7.525107e-02 
9.088000e+00 -7.737936e-02 
9.120000e+00 -8.447366e-02 
9.152000e+00 -8.114479e-02 
9.184000e+00 -7.650621e-02 
9.216000e+00 -8.141765e-02 
9.248000e+00 -8.054451e-02 
9.280000e+00 -8.136308e-02 
9.312000e+00 -8.059908e-02 
9.344000e+00 -7.732479e-02 
9.376000e+00 -8.038079e-02 
9.408000e+00 -7.836165e-02 
9.440000e+00 -7.770679e-02 
9.472000e+00 -8.632909e-02 
9.504000e+00 -8.436451e-02 
9.536000e+00 -8.518309e-02 
9.568000e+00 -8.119936e-02 
9.600000e+00 -8.103565e-02 
9.632000e+00 -8.638366e-02 
9.664000e+00 -7.918022e-02 
9.696000e+00 -8.087194e-02 
9.728000e+00 -8.501937e-02 
9.760000e+00 -8.960338e-02 
9.792000e+00 -7.383221e-02 
9.824000e+00 -7.956222e-02 
9.856000e+00 -8.125394e-02 
9.888000e+00 -7.950765e-02 
9.920000e+00 -8.223622e-02 
9.952000e+00 -8.616537e-02 
9.984000e+00 -8.179965e-02 
1.001600e+01 -8.316394e-02 
1.004800e+01 -8.038079e-02 
1.008000e+01 -7.841622e-02 
1.011200e+01 -7.819793e-02 
1.014400e+01 -7.978051e-02 
1.017600e+01 -8.119936e-02 
1.020800e+01 -7.279535e-02 
1.024000e+01 -7.847079e-02 
1.027200e+01 -7.268621e-02 
1.030400e+01 -8.201794e-02 
1.033600e+01 -7.830707e-02 
1.036800e+01 -7.967136e-02 
1.040000e+01 -8.174508e-02 
1.043200e+01 -8.163594e-02 
1.046400e+01 -7.961679e-02 
1.049600e+01 -7.634250e-02 
1.052800e+01 -8.027165e-02 
1.056000e+01 -8.949424e-02 
1.059200e+01 -8.534680e-02 
1.062400e+01 -8.360051e-02 
1.065600e+01 -9.042195e-02 
1.068800e+01 -7.721564e-02 
1.072000e+01 -7.677907e-02 
1.075200e+01 -8.261822e-02 
1.078400e+01 -7.819793e-02 
1.081600e+01 -8.676566e-02 
1.084800e+01 -8.496480e-02 
1.088000e+01 -8.016251e-02 
1.091200e+01 -8.349137e-02 
1.094400e+01 -7.852536e-02 
1.097600e+01 -7.006677e-02 
1.100800e+01 -7.721564e-02 
1.104000e+01 -7.012135e-02 
1.107200e+01 -7.765222e-02 
1.110400e+01 -8.239994e-02 
1.113600e+01 -8.873023e-02 
1.116800e+01 -8.572880e-02 
1.120000e+01 -8.196337e-02 
1.123200e+01 -7.950765e-02 
1.126400e+01 -7.606964e-02 
1.129600e+01 -7.317735e-02 
1.132800e+01 -7.983508e-02 
1.136000e+01 -8.267280e-02 
1.139200e+01 -8.272737e-02 
1.142400e+01 -8.452823e-02 
1.145600e+01 -8.207251e-02 
1.148800e+01 -8.179965e-02 
1.152000e+01 -7.323192e-02 
1.155200e+01 -8.109022e-02 
1.158400e+01 -8.425537e-02 
1.161600e+01 -8.398251e-02 
1.164800e+01 -7.737936e-02 
1.168000e+01 -8.452823e-02 
1.171200e+01 -8.485566e-02 
1.174400e+01 -8.310937e-02 
1.177600e+01 -8.452823e-02 
1.180800e+01 -8.048994e-02 
1.184000e+01 -7.797965e-02 
1.187200e+01 -7.552393e-02 
1.190400e+01 -7.721564e-02 
