theta        pow          
1.816276e+01 1.225300e-01 
1.822006e+01 1.208735e-01 
1.827735e+01 1.192350e-01 
1.833465e+01 1.176143e-01 
1.839195e+01 1.160113e-01 
1.844924e+01 1.144261e-01 
1.850654e+01 1.128584e-01 
1.856383e+01 1.113082e-01 
1.862113e+01 1.097754e-01 
1.867842e+01 1.082600e-01 
1.873572e+01 1.067619e-01 
1.879302e+01 1.052809e-01 
1.885031e+01 1.038170e-01 
1.890761e+01 1.023701e-01 
1.896490e+01 1.009401e-01 
1.902220e+01 9.952687e-02 
1.907949e+01 9.813040e-02 
1.913679e+01 9.675056e-02 
1.919409e+01 9.538724e-02 
1.925138e+01 9.404037e-02 
1.930868e+01 9.270983e-02 
1.936597e+01 9.139553e-02 
1.942327e+01 9.009737e-02 
1.948057e+01 8.881526e-02 
1.953786e+01 8.754909e-02 
1.959516e+01 8.629876e-02 
1.965245e+01 8.506417e-02 
1.970975e+01 8.384521e-02 
1.976704e+01 8.264178e-02 
1.982434e+01 8.145378e-02 
1.988164e+01 8.028110e-02 
1.993893e+01 7.912363e-02 
1.999623e+01 7.798127e-02 
2.005352e+01 7.685390e-02 
2.011082e+01 7.574143e-02 
2.016811e+01 7.464373e-02 
2.022541e+01 7.356071e-02 
2.028271e+01 7.249225e-02 
2.034000e+01 7.143823e-02 
2.039730e+01 7.039856e-02 
2.045459e+01 6.937311e-02 
2.051189e+01 6.836177e-02 
2.056918e+01 6.736443e-02 
2.062648e+01 6.638099e-02 
2.068378e+01 6.541131e-02 
2.074107e+01 6.445529e-02 
2.079837e+01 6.351282e-02 
2.085566e+01 6.258377e-02 
2.091296e+01 6.166804e-02 
2.097026e+01 6.076551e-02 
2.102755e+01 5.987606e-02 
2.108485e+01 5.899958e-02 
2.114214e+01 5.813594e-02 
2.119944e+01 5.728504e-02 
2.125673e+01 5.644675e-02 
2.131403e+01 5.562096e-02 
2.137133e+01 5.480756e-02 
2.142862e+01 5.400642e-02 
2.148592e+01 5.321742e-02 
2.154321e+01 5.244046e-02 
2.160051e+01 5.167540e-02 
2.165780e+01 5.092214e-02 
2.171510e+01 5.018056e-02 
2.177240e+01 4.945054e-02 
2.182969e+01 4.873195e-02 
2.188699e+01 4.802469e-02 
2.194428e+01 4.732864e-02 
2.200158e+01 4.664367e-02 
2.205888e+01 4.596968e-02 
2.211617e+01 4.530654e-02 
2.217347e+01 4.465413e-02 
2.223076e+01 4.401234e-02 
2.228806e+01 4.338106e-02 
2.234535e+01 4.276016e-02 
2.240265e+01 4.214953e-02 
2.245995e+01 4.154906e-02 
2.251724e+01 4.095862e-02 
2.257454e+01 4.037810e-02 
2.263183e+01 3.980738e-02 
2.268913e+01 3.924636e-02 
2.274642e+01 3.869491e-02 
2.280372e+01 3.815292e-02 
2.286102e+01 3.762028e-02 
2.291831e+01 3.709687e-02 
2.297561e+01 3.658258e-02 
2.303290e+01 3.607729e-02 
2.309020e+01 3.558090e-02 
2.314749e+01 3.509328e-02 
2.320479e+01 3.461434e-02 
2.326209e+01 3.414395e-02 
2.331938e+01 3.368200e-02 
2.337668e+01 3.322839e-02 
2.343397e+01 3.278300e-02 
2.349127e+01 3.234573e-02 
2.354857e+01 3.191647e-02 
2.360586e+01 3.149510e-02 
2.366316e+01 3.108152e-02 
2.372045e+01 3.067561e-02 
2.377775e+01 3.027729e-02 
2.383504e+01 2.988643e-02 
2.389234e+01 2.950293e-02 
2.394964e+01 2.912669e-02 
2.400693e+01 2.875760e-02 
2.406423e+01 2.839555e-02 
2.412152e+01 2.804045e-02 
