f            Pxx          
1.726151e+02 7.684421e-10 
1.730919e+02 7.232316e-10 
1.735687e+02 6.741186e-10 
1.740456e+02 6.629717e-10 
1.745224e+02 7.043022e-10 
1.749992e+02 7.064768e-10 
1.754761e+02 6.876556e-10 
1.759529e+02 7.412472e-10 
1.764297e+02 7.254039e-10 
1.769066e+02 6.486954e-10 
1.773834e+02 6.491511e-10 
1.778603e+02 7.140169e-10 
1.783371e+02 7.243666e-10 
1.788139e+02 7.456429e-10 
1.792908e+02 6.946108e-10 
1.797676e+02 6.972558e-10 
1.802444e+02 6.757133e-10 
1.807213e+02 6.715150e-10 
1.811981e+02 7.082392e-10 
1.816750e+02 6.376966e-10 
1.821518e+02 6.281680e-10 
1.826286e+02 6.318268e-10 
1.831055e+02 6.742017e-10 
1.835823e+02 6.705014e-10 
1.840591e+02 6.546665e-10 
1.845360e+02 6.295555e-10 
1.850128e+02 6.558690e-10 
1.854897e+02 6.514710e-10 
1.859665e+02 6.824725e-10 
1.864433e+02 7.734492e-10 
1.869202e+02 7.148967e-10 
1.873970e+02 7.218572e-10 
1.878738e+02 7.289857e-10 
1.883507e+02 6.889909e-10 
1.888275e+02 6.935945e-10 
1.893044e+02 6.231204e-10 
1.897812e+02 6.275617e-10 
1.902580e+02 6.721983e-10 
1.907349e+02 7.064278e-10 
1.912117e+02 6.629083e-10 
1.916885e+02 6.321586e-10 
1.921654e+02 6.357026e-10 
1.926422e+02 6.425252e-10 
1.931190e+02 7.836385e-10 
1.935959e+02 7.744183e-10 
1.940727e+02 6.733537e-10 
1.945496e+02 7.109168e-10 
1.950264e+02 7.433127e-10 
1.955032e+02 6.836524e-10 
1.959801e+02 6.893153e-10 
1.964569e+02 6.427449e-10 
1.969337e+02 6.503150e-10 
1.974106e+02 7.445521e-10 
1.978874e+02 6.851131e-10 
1.983643e+02 6.517313e-10 
1.988411e+02 7.748955e-10 
1.993179e+02 8.107108e-10 
1.997948e+02 7.080271e-10 
2.002716e+02 6.339507e-10 
2.007484e+02 6.078036e-10 
2.012253e+02 6.326757e-10 
2.017021e+02 6.904681e-10 
2.021790e+02 7.855791e-10 
2.026558e+02 7.252307e-10 
2.031326e+02 6.536129e-10 
2.036095e+02 7.031232e-10 
2.040863e+02 6.915132e-10 
2.045631e+02 6.794475e-10 
2.050400e+02 7.380131e-10 
2.055168e+02 7.595152e-10 
2.059937e+02 7.795683e-10 
2.064705e+02 7.194159e-10 
2.069473e+02 7.002446e-10 
2.074242e+02 7.829051e-10 
2.079010e+02 6.953750e-10 
2.083778e+02 6.934712e-10 
2.088547e+02 6.626491e-10 
2.093315e+02 6.488754e-10 
2.098083e+02 6.987426e-10 
2.102852e+02 6.851636e-10 
2.107620e+02 6.652907e-10 
2.112389e+02 6.569138e-10 
2.117157e+02 6.860466e-10 
2.121925e+02 6.958977e-10 
2.126694e+02 6.399586e-10 
2.131462e+02 6.045638e-10 
2.136230e+02 6.670453e-10 
2.140999e+02 7.048514e-10 
2.145767e+02 6.694030e-10 
2.150536e+02 6.029006e-10 
2.155304e+02 5.809681e-10 
2.160072e+02 6.202489e-10 
2.164841e+02 6.748138e-10 
2.169609e+02 6.290526e-10 
2.174377e+02 6.151833e-10 
2.179146e+02 7.053541e-10 
2.183914e+02 6.525629e-10 
2.188683e+02 6.349046e-10 
2.193451e+02 6.574412e-10 
2.198219e+02 7.020691e-10 
2.202988e+02 6.739240e-10 
2.207756e+02 6.459142e-10 
2.212524e+02 6.824769e-10 
2.217293e+02 6.693575e-10 
2.222061e+02 6.350051e-10 
2.226830e+02 6.306729e-10 
2.231598e+02 6.433014e-10 
2.236366e+02 6.469395e-10 
2.241135e+02 7.734553e-10 
2.245903e+02 7.378281e-10 
2.250671e+02 6.690245e-10 
2.255440e+02 6.336392e-10 
2.260208e+02 6.132482e-10 
2.264977e+02 6.208470e-10 
2.269745e+02 7.135479e-10 
2.274513e+02 6.829901e-10 
2.279282e+02 6.975325e-10 
2.284050e+02 6.871158e-10 
2.288818e+02 7.156570e-10 
2.293587e+02 6.714783e-10 
2.298355e+02 6.657333e-10 
2.303123e+02 6.481812e-10 
2.307892e+02 6.674164e-10 
2.312660e+02 6.523423e-10 
2.317429e+02 6.096558e-10 
2.322197e+02 6.412696e-10 
2.326965e+02 7.141598e-10 
2.331734e+02 6.837994e-10 
2.336502e+02 6.942985e-10 
2.341270e+02 7.131383e-10 
2.346039e+02 6.928631e-10 
2.350807e+02 5.711841e-10 
2.355576e+02 6.032350e-10 
2.360344e+02 6.633562e-10 
2.365112e+02 6.437716e-10 
2.369881e+02 6.739083e-10 
2.374649e+02 7.131328e-10 
