tp           bump         bump_conv    
5.000000e-01 5.014194e-01 6.492291e-01 
5.100000e-01 4.876287e-01 6.498796e-01 
5.200000e-01 4.739554e-01 6.503890e-01 
5.300000e-01 4.604113e-01 6.507593e-01 
5.400000e-01 4.470072e-01 6.509929e-01 
5.500000e-01 4.337538e-01 6.510921e-01 
5.600000e-01 4.206610e-01 6.510593e-01 
5.700000e-01 4.077381e-01 6.508971e-01 
5.800000e-01 3.949941e-01 6.506080e-01 
5.900000e-01 3.824371e-01 6.501948e-01 
6.000000e-01 3.700748e-01 6.496601e-01 
6.100000e-01 3.579145e-01 6.490067e-01 
6.200000e-01 3.459626e-01 6.482374e-01 
6.300000e-01 3.342252e-01 6.473552e-01 
6.400000e-01 3.227078e-01 6.463628e-01 
6.500000e-01 3.114152e-01 6.452634e-01 
6.600000e-01 3.003519e-01 6.440597e-01 
6.700000e-01 2.895217e-01 6.427549e-01 
6.800000e-01 2.789279e-01 6.413519e-01 
6.900000e-01 2.685734e-01 6.398538e-01 
7.000000e-01 2.584605e-01 6.382635e-01 
7.100000e-01 2.485910e-01 6.365841e-01 
7.200000e-01 2.389665e-01 6.348187e-01 
7.300000e-01 2.295877e-01 6.329702e-01 
7.400000e-01 2.204553e-01 6.310416e-01 
7.500000e-01 2.115692e-01 6.290359e-01 
7.600000e-01 2.029292e-01 6.269561e-01 
7.700000e-01 1.945346e-01 6.248052e-01 
7.800000e-01 1.863843e-01 6.225859e-01 
7.900000e-01 1.784769e-01 6.203013e-01 
8.000000e-01 1.708106e-01 6.179541e-01 
8.100000e-01 1.633833e-01 6.155471e-01 
8.200000e-01 1.561927e-01 6.130832e-01 
8.300000e-01 1.492362e-01 6.105650e-01 
8.400000e-01 1.425107e-01 6.079952e-01 
8.500000e-01 1.360132e-01 6.053764e-01 
8.600000e-01 1.297403e-01 6.027113e-01 
8.700000e-01 1.236884e-01 6.000024e-01 
8.800000e-01 1.178536e-01 5.972520e-01 
8.900000e-01 1.122321e-01 5.944627e-01 
9.000000e-01 1.068197e-01 5.916367e-01 
