R C R0 Loop beta teff_pred sI_pred
18 5 3.578796e+00 1.221162e+01 3.964808e-01 1.024649e+00 7.864381e-01
18 6 4.058445e+00 7.721524e+00 2.794579e-01 1.409244e+00 7.287085e-01
18 8 3.734614e+00 9.494585e+00 6.800005e-01 1.486627e+00 7.350141e-01
19 1 3.489106e+00 6.304843e+00 5.595313e-01 1.957319e+00 7.398743e-01
19 2 3.172024e+00 8.411190e+00 6.144246e-01 1.593579e+00 8.430841e-01
19 3 3.739936e+00 6.420170e+00 5.546740e-01 1.924747e+00 6.930869e-01
19 4 3.901465e+00 8.448820e+00 6.246956e-01 1.595890e+00 6.847339e-01
19 5 3.760528e+00 1.454617e+01 5.179814e-01 9.400004e-01 7.810647e-01
19 6 4.017127e+00 1.001302e+01 4.244215e-01 1.234209e+00 7.412276e-01
19 7 3.775305e+00 1.022778e+01 5.770369e-01 1.320756e+00 7.749573e-01
19 8 4.018718e+00 9.675551e+00 5.615030e-01 1.371199e+00 7.454977e-01
20 1 3.577280e+00 9.461022e+00 1.029022e+00 1.741213e+00 7.132273e-01
20 3 3.680445e+00 9.388671e+00 1.023580e+00 1.748125e+00 6.940495e-01
20 5 4.121948e+00 7.677226e+00 3.639509e-01 1.490625e+00 7.251201e-01
20 6 3.980104e+00 1.011990e+01 4.598798e-01 1.249253e+00 7.401128e-01
20 7 5.080497e+00 4.092385e+00 9.673304e-04 1.927980e+00 6.836064e-01
20 8 4.447735e+00 6.603771e+00 3.531147e-02 1.340975e+00 7.621734e-01
21 1 3.910949e+00 9.033929e+00 8.963656e-01 1.709206e+00 6.811810e-01
21 2 3.901353e+00 7.431956e+00 5.052596e-01 1.664403e+00 7.064677e-01
21 3 3.765228e+00 8.899268e+00 8.651666e-01 1.707130e+00 7.101929e-01
21 4 3.566997e+00 7.470657e+00 5.059600e-01 1.657785e+00 7.741562e-01
21 5 3.539557e+00 8.690301e+00 2.155160e-01 1.228982e+00 7.672784e-01
21 6 2.941664e+00 1.106928e+01 1.078415e+00 1.579707e+00 7.328041e-01
21 7 4.052169e+00 7.797388e+00 4.152994e-01 1.517270e+00 7.283164e-01
21 8 4.097298e+00 9.745331e+00 4.954366e-01 1.314229e+00 7.381967e-01
22 1 3.558631e+00 8.896412e+00 7.421917e-01 1.619789e+00 7.342783e-01
22 2 3.634175e+00 9.075599e+00 8.053568e-01 1.639418e+00 7.197784e-01
22 4 3.720223e+00 9.080301e+00 8.135931e-01 1.644768e+00 7.021625e-01
22 5 3.964709e+00 7.358725e+00 3.537957e-01 1.535666e+00 7.451746e-01
22 6 3.918140e+00 2.851779e+00 2.817845e-01 3.044331e+00 5.780075e-01
23 1 2.970070e+00 9.941133e+00 1.006036e+00 1.660444e+00 8.375107e-01
23 2 3.277139e+00 1.029421e+01 9.885279e-01 1.605936e+00 7.345689e-01
23 3 3.455612e+00 1.002068e+01 9.876522e-01 1.637128e+00 7.235665e-01
23 4 3.031469e+00 1.038671e+01 1.051224e+00 1.635192e+00 7.864159e-01
23 5 3.834029e+00 8.940047e+00 4.034118e-01 1.343882e+00 7.677648e-01
23 6 4.015643e+00 9.297906e+00 4.260039e-01 1.316174e+00 7.416239e-01
23 7 3.469707e+00 8.151066e+00 5.489207e-01 1.586847e+00 7.345020e-01
23 8 2.962826e+00 9.382921e+00 1.127325e+00 1.838160e+00 7.251767e-01
24 2 3.024996e+00 1.178516e+01 1.727486e+00 1.860331e+00 7.120370e-01
24 4 2.791476e+00 1.187711e+01 1.709504e+00 1.839015e+00 7.744454e-01
24 6 2.868007e+00 9.783055e+00 1.020894e+00 1.709905e+00 7.396403e-01
24 7 3.456801e+00 1.365430e+01 8.789171e-01 1.200295e+00 7.755931e-01
24 8 3.536414e+00 9.808192e+00 6.283040e-01 1.413650e+00 7.482075e-01
25 1 2.725845e+00 8.415816e+00 1.912838e+00 2.543334e+00 6.600185e-01
25 2 2.133250e+00 1.311961e+00 1.308196e+00 6.180867e+00 3.232474e-01
25 3 2.788714e+00 8.460456e+00 1.873853e+00 2.508498e+00 6.510273e-01
25 4 2.292100e+00 1.307043e+00 1.291283e+00 6.172413e+00 3.031516e-01
25 5 3.928496e+00 7.971461e+00 3.019345e-01 1.392342e+00 7.467984e-01
25 6 4.514890e+00 4.344165e+00 3.643120e-02 1.900499e+00 6.863318e-01
25 7 3.993273e+00 8.149511e+00 3.003340e-01 1.364665e+00 7.398542e-01
25 8 3.499712e+00 1.002918e+01 5.960759e-01 1.361700e+00 7.833938e-01
26 1 2.969642e+00 1.891555e+00 6.979677e-01 4.615658e+00 4.562523e-01
26 2 2.705170e+00 1.183819e+00 8.483204e-01 5.898564e+00 3.299426e-01
26 3 3.024725e+00 1.894871e+00 6.746378e-01 4.577814e+00 4.563144e-01
26 4 2.829219e+00 1.178991e+00 8.006216e-01 5.848230e+00 3.255324e-01
26 5 3.900093e+00 9.332599e+00 5.666916e-01 1.421044e+00 7.347665e-01
26 6 3.938766e+00 9.158850e+00 5.016075e-01 1.393627e+00 7.336445e-01
26 7 3.890479e+00 9.570833e+00 6.275867e-01 1.436793e+00 7.247790e-01
26 8 4.014028e+00 8.880765e+00 5.703247e-01 1.482634e+00 7.255134e-01
27 1 2.795620e+00 1.108609e+01 2.372811e+00 2.303698e+00 6.827363e-01
27 2 2.922217e+00 3.753072e+00 6.928053e-01 3.063196e+00 6.524510e-01
27 3 2.797620e+00 1.077917e+01 2.209129e+00 2.267141e+00 6.879823e-01
27 4 2.837927e+00 3.757308e+00 6.991561e-01 3.067968e+00 6.726313e-01
27 5 3.850061e+00 5.961487e+00 1.933346e-01 1.657338e+00 7.178435e-01
27 6 2.813406e+00 9.188580e+00 1.010501e+00 1.791988e+00 7.457691e-01
27 7 5.154429e+00 4.710438e+00 1.314197e-07 1.716533e+00 7.233228e-01
28 1 3.052950e+00 7.633619e+00 1.165657e+00 2.186701e+00 6.925790e-01
28 2 3.183498e+00 3.809937e+00 6.799150e-01 3.017972e+00 6.001223e-01
28 3 3.108426e+00 7.672641e+00 1.152215e+00 2.168198e+00 6.807623e-01
28 4 3.271101e+00 3.824815e+00 6.667387e-01 2.993856e+00 5.878635e-01
28 5 3.553009e+00 1.435043e+01 9.788142e-01 1.200684e+00 7.604312e-01
28 6 3.938104e+00 7.064558e+00 1.806797e-01 1.425208e+00 7.276263e-01
28 7 4.098593e+00 7.415906e+00 3.247331e-01 1.498382e+00 7.291741e-01
29 1 3.126260e+00 2.707045e+00 5.431570e-01 3.415422e+00 5.469616e-01
29 2 2.746680e+00 3.718112e+00 6.572168e-01 2.928636e+00 6.096719e-01
29 3 3.118304e+00 2.634016e+00 5.322715e-01 3.458458e+00 5.447396e-01
29 4 2.944742e+00 3.658226e+00 6.691741e-01 2.968201e+00 5.831582e-01
29 5 3.397285e+00 6.944894e+00 2.101696e-01 1.413930e+00 8.028591e-01
29 6 2.715155e+00 1.169482e+01 1.441645e+00 1.650463e+00 7.284237e-01
29 7 3.437878e+00 1.081412e+01 8.287442e-01 1.368536e+00 7.711812e-01
30 1 2.992119e+00 4.371888e+00 6.098309e-01 2.519814e+00 6.419667e-01
30 3 3.091286e+00 4.610473e+00 2.769524e-01 2.048426e+00 6.833226e-01
30 5 3.186325e+00 2.398599e+01 1.729006e+00 9.550717e-01 8.040095e-01
30 6 3.527394e+00 9.926884e+00 4.905520e-01 1.224759e+00 7.700291e-01
31 1 2.984578e+00 2.970032e+00 6.065558e-01 3.495124e+00 5.683569e-01
31 2 2.148773e+00 7.154464e+00 1.719407e+00 2.763507e+00 7.517764e-01
31 4 2.673308e+00 7.160685e+00 1.668881e+00 2.721438e+00 6.231170e-01
31 5 3.137118e+00 9.093220e+00 5.915842e-01 1.503597e+00 7.562044e-01
31 6 2.424448e+00 1.362378e+01 1.993047e+00 1.817296e+00 7.724210e-01
31 7 4.124381e+00 7.400117e+00 2.415812e-01 1.437195e+00 7.302848e-01
31 8 3.760045e+00 9.299642e+00 6.074743e-01 1.471812e+00 7.421856e-01
32 1 2.589710e+00 8.306811e+00 2.086408e+00 2.926552e+00 6.586611e-01
32 2 2.757941e+00 4.572597e+00 8.691092e-01 3.145418e+00 6.286841e-01
32 3 2.488984e+00 7.249937e+00 2.191747e+00 3.302507e+00 6.168399e-01
32 7 3.860814e+00 8.586251e+00 4.938619e-01 1.602199e+00 7.277807e-01
